dateSold,propertyType,lotAreaValue,address,variableData,priceChange,zestimate,imgSrc,price,bedrooms,contingentListingType,longitude,latitude,listingStatus,zpid,listingSubType,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,unit,newConstructionType
,SINGLE_FAMILY,4330.0,"108 N Russell Ave, Ames, IA 50010","{'text': '$5,000 (Mar 3)', 'type': 'PRICE_REDUCTION'}",-5000.0,243738.0,https://photos.zillowstatic.com/fp/df0bd099740dd14f22d5c172cd5a73f6-p_e.jpg,239900,6.0,,-93.62812,42.023327,FOR_SALE,115842056,{'is_FSBA': True},1743.0,-1,3.0,1404.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,0.84,"4101 Purvis Ln, Ames, IA 50010","{'text': 'Open: Sat. 1-3pm', 'type': 'OPEN_HOUSE'}",,425002.0,https://photos.zillowstatic.com/fp/f09d60da5d71b1bcb5ec658593fd428a-p_e.jpg,425000,3.0,,-93.61728,42.06513,FOR_SALE,93951529,"{'is_FSBA': True, 'is_openHouse': True}",1649.0,-1,4.0,1552.0,USA,USD,acres,True,,
,SINGLE_FAMILY,9011.0,"3915 Harris St, Ames, IA 50014",,,365002.0,https://photos.zillowstatic.com/fp/51d5ce625188c9a77206ee4d3477ca14-p_e.jpg,365000,4.0,,-93.67173,42.01813,FOR_SALE,213627761,{'is_FSBA': True},1523.0,18,3.0,1413.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,7100.0,"2227 Storm St, Ames, IA 50014","{'text': '$15,000 (Apr 10)', 'type': 'PRICE_REDUCTION'}",-15000.0,350003.0,https://photos.zillowstatic.com/fp/43e23284eff69ea953caf2d7c4e8af83-p_e.jpg,350000,4.0,,-93.64565,42.01638,FOR_SALE,93962019,{'is_FSBA': True},1884.0,-1,2.0,1646.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,9784.0,"5521 Westfield Dr, Ames, IA 50014","{'text': '3D Tour', 'type': '3D_HOME'}",,399902.0,https://photos.zillowstatic.com/fp/5daea11acb74cfa917893083ed34f743-p_e.jpg,399900,3.0,,-93.69385,42.02861,FOR_SALE,240056042,{'is_FSBA': True},2456.0,-1,2.0,1406.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,8001.972,"2739 Somerset Dr, Ames, IA 50010","{'text': '3D Tour', 'type': '3D_HOME'}",,405002.0,https://photos.zillowstatic.com/fp/4f94778f62cb29b2e0d3ee2ea06f11c3-p_e.jpg,405000,4.0,,-93.63975,42.04933,FOR_SALE,93952548,{'is_FSBA': True},2488.0,-1,4.0,2021.0,USA,USD,sqft,True,,
,MULTI_FAMILY,7426.98,"312 E 6th St, Ames, IA 50010","{'text': '$5,000 (Apr 4)', 'type': 'PRICE_REDUCTION'}",-5000.0,224901.0,https://photos.zillowstatic.com/fp/dd66b7b6f44e5e497248b20a1d5d6ad4-p_e.jpg,224900,4.0,,-93.6063,42.02681,FOR_SALE,115841933,{'is_FSBA': True},1344.0,-1,1.0,1980.0,USA,USD,sqft,True,,
,CONDO,0.27637741046832,"2310 Hamilton Dr, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/693321084451d1b85c7791d7fe12dfa1-p_e.jpg,366000,2.0,,-93.647156,42.001907,FOR_SALE,93957699,{'is_FSBA': True},818.0,1,3.0,1478.0,USA,USD,acres,True,,
,SINGLE_FAMILY,0.29,"1001 Jarrett Cir, Ames, IA 50014",,,399903.0,https://photos.zillowstatic.com/fp/197c404028751c6b87b872edcb738c7d-p_e.jpg,399900,4.0,,-93.66827,42.031,FOR_SALE,93960157,{'is_FSBA': True},1488.0,18,3.0,1661.0,USA,USD,acres,True,,
,SINGLE_FAMILY,9794.0,"1617 Ledges Dr, Ames, IA 50010","{'text': '3D Tour', 'type': '3D_HOME'}",-15000.0,365001.0,https://photos.zillowstatic.com/fp/758f93f6de3a75db9b6a5db7167c8e16-p_e.jpg,365000,4.0,,-93.63207,42.07746,FOR_SALE,307088543,{'is_FSBA': True},2216.0,-1,3.0,1554.0,USA,USD,sqft,True,,
,CONDO,2704.0,"415 Stanton Ave UNIT 311, Ames, IA 50014",,,339200.0,https://photos.zillowstatic.com/fp/1beefc20d733a655dfbcfbc6d9fe5de6-p_e.jpg,360000,2.0,,-93.64898,42.018353,FOR_SALE,307101411,{'is_FSBA': True},1207.0,5,2.0,,USA,USD,sqft,True,Unit 311,
,TOWNHOUSE,3049.2,"4536 Twain Cir UNIT 4, Ames, IA 50014","{'text': '$5,100 (Apr 5)', 'type': 'PRICE_REDUCTION'}",-5100.0,,https://photos.zillowstatic.com/fp/f03751c39bd381a0e9a120b0476efe20-p_e.jpg,189900,4.0,,-93.679855,42.01598,FOR_SALE,115842608,{'is_FSBA': True},,-1,2.0,1049.0,USA,USD,sqft,True,Unit 4,
,SINGLE_FAMILY,1.02,"5211 Harvest Rd, Ames, IA 50014",,,650002.0,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=42.07103729248047,-93.68611145019531&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=bISJquDaeoNgJDAJlcCy7slhaR0=",650000,4.0,FORECLOSURE,-93.68611,42.071037,FOR_SALE,240055826,{'is_bankOwned': True},3370.0,33,4.0,1968.0,USA,USD,acres,,,
,SINGLE_FAMILY,10131.0,"1816 Ledges Dr, Ames, IA 50010",,,756002.0,https://photos.zillowstatic.com/fp/e3f354421638ad0c05671766f229d662-p_e.jpg,756000,5.0,,-93.633736,42.076748,FOR_SALE,307088568,{'is_newHome': True},4408.0,82,4.0,2207.0,USA,USD,sqft,True,,BUILDER_SPEC
,SINGLE_FAMILY,0.30672635445363,"4917 Utah Dr, Ames, IA 50014","{'text': 'Open: Sat. 10:30am-12pm', 'type': 'OPEN_HOUSE'}",,419003.0,https://photos.zillowstatic.com/fp/efa8f79819ac7fac8b282108ee0491b4-p_e.jpg,419000,3.0,,-93.685455,42.02984,FOR_SALE,93960733,"{'is_FSBA': True, 'is_openHouse': True}",2361.0,-1,3.0,1363.0,USA,USD,acres,True,,
,SINGLE_FAMILY,10400.0,"5812 McFarland Ave, Ames, IA 50010",,,,https://photos.zillowstatic.com/fp/469530a108e697eca3f6639267f91c90-p_e.jpg,615000,4.0,,-93.63494,42.076916,FOR_SALE,2058128688,{'is_newHome': True},,5,3.0,1637.0,USA,USD,sqft,True,,BUILDER_SPEC
,SINGLE_FAMILY,1.14,"2329 163rd Pl, Ames, IA 50014",,,906855.0,https://photos.zillowstatic.com/fp/17839d6b2aea5f4ac2bc1c07d49bd460-p_e.jpg,924900,4.0,,-93.71109,42.11786,FOR_SALE,117852871,{'is_FSBA': True},5446.0,63,4.0,2215.0,USA,USD,acres,True,,
,SINGLE_FAMILY,0.29,"3110 Oakland St, Ames, IA 50014",,,140000.0,https://photos.zillowstatic.com/fp/f62a7f8c86a4ec452d23799b0752e56c-p_e.jpg,140000,2.0,,-93.65967,42.027912,FOR_SALE,115842109,{'is_FSBA': True},850.0,61,1.0,,USA,USD,acres,True,,
,SINGLE_FAMILY,0.75,"3403 Cameron School Rd, Ames, IA 50014",,-50000.0,499903.0,https://photos.zillowstatic.com/fp/7b5f3375e7318ca503c7e02e2ce13a4e-p_e.jpg,499900,5.0,,-93.6646,42.07102,FOR_SALE,115839037,{'is_FSBA': True},2915.0,65,3.0,1608.0,USA,USD,acres,True,,
,CONDO,0.26629935720845,"2216 Hamilton Dr, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/6f749cd68caec1a32bc7a5320757a3df-p_e.jpg,309000,3.0,,-93.64586,42.000626,FOR_SALE,93957680,{'is_FSBA': True},1335.0,126,2.0,1400.0,USA,USD,acres,True,,
,TOWNHOUSE,2880.0,"2819 Bristol Dr, Ames, IA 50010","{'text': 'Open: Sun. 3-4pm', 'type': 'OPEN_HOUSE'}",-17500.0,435000.0,https://photos.zillowstatic.com/fp/88f7b5a85ce4f8f4abb738597a887d95-p_e.jpg,435000,4.0,,-93.64767,42.047813,FOR_SALE,93954649,"{'is_FSBA': True, 'is_openHouse': True}",2636.0,-1,4.0,,USA,USD,sqft,True,,
,MULTI_FAMILY,7428.0,"312/314 E 6th St, Ames, IA 50010","{'text': '$5,000 (Apr 4)', 'type': 'PRICE_REDUCTION'}",-5000.0,,https://photos.zillowstatic.com/fp/814ba57fac397c3e3262ca255e0c2faf-p_e.jpg,224900,,,-93.6054,42.02703,FOR_SALE,2059116593,{'is_FSBA': True},,-1,,,USA,USD,sqft,True,,
,CONDO,9557.0,"2423 Hamilton Dr, Ames, IA 50014",,-900.0,239000.0,https://photos.zillowstatic.com/fp/852903738ce0ad4a39d9f3d799d173ee-p_e.jpg,239000,2.0,,-93.646835,42.00194,FOR_SALE,121768313,{'is_FSBA': True},1275.0,231,2.0,1306.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,10018.8,"1611 Ledges Dr, Ames, IA 50010","{'text': '$10,000 (Mar 3)', 'type': 'PRICE_REDUCTION'}",-10000.0,374901.0,https://photos.zillowstatic.com/fp/3fbaabc22c58d9562bc0740c62e7e78e-p_e.jpg,374900,3.0,,-93.63178,42.077473,FOR_SALE,307088542,{'is_FSBA': True},2255.0,-1,2.0,1337.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,0.36866391184573,"4506 Aldrin Ave, Ames, IA 50014","{'text': 'Open: Thu. 7-8pm', 'type': 'OPEN_HOUSE'}",-6477.0,,https://photos.zillowstatic.com/fp/52a262d650a48e1ce28f43edc318bba4-p_e.jpg,421900,4.0,,,,FOR_SALE,2069999296,"{'is_newHome': True, 'is_openHouse': True}",,-1,3.0,1800.0,USA,USD,acres,True,,BUILDER_SPEC
,SINGLE_FAMILY,0.30886134067952,"2934 Green Hills Dr, Ames, IA 50014",,,776559.0,https://photos.zillowstatic.com/fp/71e94f9c1d19c13cb4973b8ea061da07-p_e.jpg,785000,3.0,,-93.643166,42.001022,FOR_SALE,337473872,{'is_FSBA': True},4552.0,160,3.0,3592.0,USA,USD,acres,True,,
,CONDO,5451.0,"2200 Hamilton Dr UNIT 306, Ames, IA 50014",,,250002.0,https://photos.zillowstatic.com/fp/204f8569ffd39870ea76cebbcdee75c3-p_e.jpg,250000,2.0,,-93.646835,42.00194,FOR_SALE,93957595,{'is_FSBA': True},1250.0,7,2.0,1581.0,USA,USD,sqft,True,Unit 306,
,SINGLE_FAMILY,6858.0,"109 S Hyland Ave, Ames, IA 50014",,,470003.0,https://photos.zillowstatic.com/fp/0f775d533194816aa931b81453962cc9-p_e.jpg,470000,4.0,,-93.65588,42.022312,FOR_SALE,115844693,{'is_FSBA': True},2450.0,7,2.0,806.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,0.30977961432507,"4517 Aldrin Ave, Ames, IA 50014","{'text': '3D Tour', 'type': '3D_HOME'}",,452073.0,https://photos.zillowstatic.com/fp/cdbc36760f5a9ec1a443db1605264855-p_e.jpg,452072,3.0,,,,FOR_SALE,2064416491,{'is_newHome': True},2642.0,-1,2.0,1501.0,USA,USD,acres,True,,BUILDER_SPEC
,CONDO,2689.0,"2200 Hamilton Dr UNIT 410, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/a102ce12ae9f0e644619d8833eb4a0d0-p_e.jpg,69900,1.0,,-93.646835,42.00194,FOR_SALE,115841598,{'is_FSBA': True},872.0,231,1.0,644.0,USA,USD,sqft,True,Unit 410,
,SINGLE_FAMILY,8702.0,"103 S Hyland Ave, Ames, IA 50014",,,470001.0,https://photos.zillowstatic.com/fp/737c4d70a7bbc5b9a4a36bfe2f98da37-p_e.jpg,470000,5.0,,-93.65588,42.022522,FOR_SALE,115844692,{'is_FSBA': True},2184.0,7,1.0,1050.0,USA,USD,sqft,True,,
,LOT,3.0,"3554 N 500th Ave, Ames, IA 50014",,-25000.0,,https://photos.zillowstatic.com/fp/dc096fb5cf3a3322541f9944a05e928d-p_e.jpg,375000,,,-93.69833,42.054226,FOR_SALE,121768489,{'is_FSBA': True},1019.0,15,,,USA,USD,acres,True,,
,SINGLE_FAMILY,10393.0,"4603 Everest Ave, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/afbb9ccbebdac0f416a7b60a628239e7-p_e.jpg,474900,4.0,,-93.66193,42.064346,FOR_SALE,2058739827,{'is_FSBA': True},,32,3.0,1604.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,4526.0,"2812 Lincoln Way, Ames, IA 50014",,,470000.0,https://photos.zillowstatic.com/fp/2f0527b805bf3ecca122fc80418d8429-p_e.jpg,470000,4.0,,-93.6562,42.022545,FOR_SALE,115845143,{'is_FSBA': True},2514.0,7,3.0,792.0,USA,USD,sqft,True,,
,LOT,0.47,"2214 228th Pl, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/bb93df089ee7827388e436c458b95270-p_e.jpg,79900,,,-93.73536,42.026146,FOR_SALE,2058451357,{'is_FSBA': True},,23,,,USA,USD,acres,True,,
,SINGLE_FAMILY,10018.8,"1623 Ledges Dr, Ames, IA 50010",,21000.0,,https://photos.zillowstatic.com/fp/739a121dfac5b5edd84bab14005b1334-p_e.jpg,396900,3.0,,-93.63238,42.07745,FOR_SALE,307088544,{'is_FSBA': True},2323.0,526,2.0,1366.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,10192.0,"2217 Leopold Dr, Ames, IA 50010",,,420789.0,https://photos.zillowstatic.com/fp/0acb2864777feed1b46f4638f9c9f72a-p_e.jpg,420789,3.0,,-93.63959,42.074146,FOR_SALE,245078089,{'is_FSBA': True},2487.0,204,2.0,1410.0,USA,USD,sqft,True,,
,SINGLE_FAMILY,10454.4,"4522 Everest Ave, Ames, IA 50014","{'text': '3D Tour', 'type': '3D_HOME'}",,,https://photos.zillowstatic.com/fp/0b0d4789c23d70e651ffa28d7668830a-p_e.jpg,456726,3.0,,-93.66193,42.064346,FOR_SALE,2064400466,{'is_newHome': True},,-1,2.0,1481.0,USA,USD,sqft,True,,BUILDER_SPEC
,CONDO,3655.0,"2200 Hamilton Dr UNIT 409, Ames, IA 50014",,,251191.0,https://photos.zillowstatic.com/fp/204f8569ffd39870ea76cebbcdee75c3-p_e.jpg,250000,2.0,,-93.646835,42.00194,FOR_SALE,93957598,{'is_FSBA': True},1250.0,84,2.0,977.0,USA,USD,sqft,True,Unit 409,
,CONDO,4035.0,"2200 Hamilton Dr UNIT 304, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/a102ce12ae9f0e644619d8833eb4a0d0-p_e.jpg,225000,2.0,,-93.646835,42.00194,FOR_SALE,93957594,{'is_FSBA': True},924.0,34,2.0,,USA,USD,sqft,True,Unit 304,
,TOWNHOUSE,6098.4,"5808 Quarry Dr, Ames, IA 50010","{'text': 'Open: Sun. 1-2:30pm', 'type': 'OPEN_HOUSE'}",,459000.0,https://photos.zillowstatic.com/fp/90a07b948de0c23a7a1e01600ebe8e2c-p_e.jpg,459000,4.0,,-93.628654,42.07715,FOR_SALE,245077782,"{'is_newHome': True, 'is_openHouse': True}",2677.0,-1,3.0,1463.0,USA,USD,sqft,True,,NEW_CONSTRUCTION_TYPE_OTHER
,SINGLE_FAMILY,10454.4,"5807 McFarland Ave, Ames, IA 50010",,,,https://photos.zillowstatic.com/fp/c0c3d5a02fdd11b63795ebb3c1db9304-p_e.jpg,600000,4.0,,-93.63562,42.07669,FOR_SALE,2060447411,{'is_FSBA': True},,22,3.0,1648.0,USA,USD,sqft,True,,
,LOT,0.8804,"526 Bellflower Dr, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/4370baf9a3bca9ed692985526d5102d5-p_e.jpg,80000,0.0,,-93.67155,42.01711,FOR_SALE,213642816,{'is_FSBA': True},1992.0,30,0.0,,USA,USD,acres,True,,
,CONDO,4180.0,"2205 Green Hills Dr #1409, Ames, IA 50014","{'text': '$10,000 (Mar 13)', 'type': 'PRICE_REDUCTION'}",-10000.0,369000.0,https://photos.zillowstatic.com/fp/31df480109daeea9dedb2648a40d2f50-p_e.jpg,369000,2.0,,-93.646835,42.00194,FOR_SALE,213643123,{'is_FSBA': True},2209.0,-1,2.0,1035.0,USA,USD,sqft,True,# 1409,
,CONDO,3755.0,"2200 Hamilton Dr UNIT 202, Ames, IA 50014","{'text': 'Video Walkthrough', 'type': 'VIDEO_WALKTHROUGH'}",,,https://photos.zillowstatic.com/fp/d0d6b1ea4431d8356e26d8b768678e13-p_e.jpg,199900,2.0,,-93.646835,42.00194,FOR_SALE,115841592,{'is_FSBA': True},1250.0,-1,2.0,,USA,USD,sqft,True,Unit 202,
,TOWNHOUSE,8712.0,"3919 Aldrin Ave, Ames, IA 50014","{'text': '3D Tour', 'type': '3D_HOME'}",,479501.0,https://photos.zillowstatic.com/fp/18d8a0bfa0f6f1e986f16723ed7f45f6-p_e.jpg,479500,2.0,,-93.6607,42.05937,FOR_SALE,307088574,{'is_newHome': True},2834.0,-1,2.0,1780.0,USA,USD,sqft,True,,NEW_CONSTRUCTION_TYPE_OTHER
,TOWNHOUSE,6534.0,"3924 Aldrin Ave, Ames, IA 50014","{'text': '3D Tour', 'type': '3D_HOME'}",,465500.0,https://photos.zillowstatic.com/fp/dfa3079623164725deb63d49c1ab9318-p_e.jpg,465500,2.0,,-93.66001,42.05957,FOR_SALE,245078317,{'is_newHome': True},2787.0,-1,2.0,1690.0,USA,USD,sqft,True,,NEW_CONSTRUCTION_TYPE_OTHER
,TOWNHOUSE,6969.6,"3920 Aldrin Ave, Ames, IA 50014","{'text': 'Open: Thu. 6-7pm', 'type': 'OPEN_HOUSE'}",,669700.0,https://photos.zillowstatic.com/fp/b83a2b634b6dcc1b07a25940565a8414-p_e.jpg,489500,2.0,,-93.66001,42.059433,FOR_SALE,245078507,"{'is_newHome': True, 'is_openHouse': True}",3911.0,-1,2.0,1780.0,USA,USD,sqft,True,,NEW_CONSTRUCTION_TYPE_OTHER
,SINGLE_FAMILY,0.26696510560147,"4605 Aldrin Ave, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/b0b26c98ec1e45b79f693489a2ea2d36-p_e.jpg,605151,4.0,,-93.66015,42.058678,FOR_SALE,2058283858,{'is_FSBA': True},,14,3.0,1724.0,USA,USD,acres,True,,
,TOWNHOUSE,6098.4,"3925 Aldrin Ave, Ames, IA 50014","{'text': 'Open: Sat. 1-2pm', 'type': 'OPEN_HOUSE'}",,450602.0,https://photos.zillowstatic.com/fp/80254120ee23ff7445235195746e5be2-p_e.jpg,455500,2.0,,-93.66066,42.059547,FOR_SALE,245078041,"{'is_newHome': True, 'is_openHouse': True}",2692.0,-1,2.0,1695.0,USA,USD,sqft,True,,NEW_CONSTRUCTION_TYPE_OTHER
,LOT,7200.0,"2215 Ada Hayden Rd, Ames, IA 50010",,,,https://photos.zillowstatic.com/fp/8745f177d99849dcbdbcf025299f0c01-p_e.jpg,75000,,,-93.63042,42.076015,FOR_SALE,2060447729,{'is_FSBA': True},,124,,,USA,USD,sqft,True,,
,LOT,0.32,"1719 Ada Hayden Rd #23, Ames, IA 50010",,,,https://photos.zillowstatic.com/fp/9da6ea64cb8dd7c91cf067ddceea7234-p_e.jpg,95000,,,-93.63355,42.07606,FOR_SALE,2060447728,{'is_FSBA': True},,124,,,USA,USD,acres,True,# 23,
,LOT,7207.0,"2209 Ada Hayden Rd, Ames, IA 50010",,,,https://photos.zillowstatic.com/fp/02b9e03826b29b6e87f24a6de577d6a6-p_e.jpg,75000,,,-93.63041,42.076015,FOR_SALE,2060447730,{'is_FSBA': True},,124,,,USA,USD,sqft,True,,
,LOT,0.3174,"1719 Ada Hayden Rd, Ames, IA 50010",,,,https://photos.zillowstatic.com/fp/230868ca18e7a72557c2eef2f6df26aa-p_e.jpg,95000,0.0,,-93.63357,42.07605,FOR_SALE,307088569,{'is_FSBA': True},2606.0,124,0.0,,USA,USD,acres,True,,
,LOT,300.0,"2001 Ada Hayden Rd, Ames, IA 50010",,,,https://photos.zillowstatic.com/fp/87c7d990c4107afd67bd6f47699f3625-p_e.jpg,89000,,,-93.63023,42.07603,FOR_SALE,2060447731,{'is_FSBA': True},,124,,,USA,USD,sqft,True,,
,LOT,2.0,"2227 229th Pl, Ames, IA 50014",,,,https://photos.zillowstatic.com/fp/17cec68ca0ebf3dab65802e4c102aba6-p_e.jpg,228000,0.0,,,,FOR_SALE,2090796515,{'is_FSBA': True},1050.0,420,0.0,,USA,USD,acres,True,,
